id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
4170679,2016-09-11,31.887966,-109.172194,Cochise,Arizona,United States,Erynnis tristis,Mournful Duskywing,Hesperiidae,Erynnis,Erynnis tristis
4170703,2016-09-11,31.873423,-109.183545,Cochise,Arizona,United States,Emesis ares,Ares Metalmark,Riodinidae,Emesis,Emesis ares
4171213,2016-09-12,31.725091,-110.880323,Santa Cruz,Arizona,United States,Apyrrothrix araxes,Dull Firetip,Hesperiidae,Apyrrothrix,Apyrrothrix araxes
4175505,2016-07-25,31.828458,-109.949686,Cochise,Arizona,United States,Autochton cellus,Golden Banded-Skipper,Hesperiidae,Autochton,Autochton cellus
4180596,2016-08-14,31.562169,-111.04652,Santa Cruz,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
4180597,2016-08-14,31.562205,-111.045914,Santa Cruz,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4180598,2016-08-14,31.56188,-111.04597,Santa Cruz,Arizona,United States,Phoebis sennae,Cloudless Sulphur,Pieridae,Phoebis,Phoebis sennae
4180599,2016-08-14,31.562155,-111.046639,Santa Cruz,Arizona,United States,Eurema boisduvaliana,Boisduval's Yellow,Pieridae,Eurema,Eurema boisduvaliana
4180600,2016-08-14,31.562208,-111.046787,Santa Cruz,Arizona,United States,Dymasia dymas,Tiny Checkerspot,Nymphalidae,Dymasia,Dymasia dymas
4180602,2016-08-14,31.562169,-111.04652,Santa Cruz,Arizona,United States,Leptotes marina,Marine Blue,Lycaenidae,Leptotes,Leptotes marina
4180603,2016-08-14,31.562211,-111.046681,Santa Cruz,Arizona,United States,Staphylus ceos,Golden-headed Scallopwing,Hesperiidae,Staphylus,Staphylus ceos
4180607,2016-08-14,31.562091,-111.048412,Santa Cruz,Arizona,United States,Asterocampa leilia,Empress Leilia,Nymphalidae,Asterocampa,Asterocampa leilia
4180608,2016-08-14,31.561988,-111.046495,Santa Cruz,Arizona,United States,Libytheana carinenta,American Snout,Nymphalidae,Libytheana,Libytheana carinenta
4180609,2016-08-14,31.562158,-111.046628,Santa Cruz,Arizona,United States,Libytheana carinenta,American Snout,Nymphalidae,Libytheana,Libytheana carinenta
4180610,2016-08-14,31.561636,-111.046142,Santa Cruz,Arizona,United States,Junonia coenia,Common Buckeye,Nymphalidae,Junonia,Junonia coenia
4180794,2016-09-23,34.9074926321,-110.1572534536,Navajo,Arizona,United States,Brephidium exilis,Western Pygmy-Blue,Lycaenidae,Brephidium,Brephidium exilis
4181961,2016-09-22,32.217753,-110.883876,Pima,Arizona,United States,Danaus gilippus,Queen,Nymphalidae,Danaus,Danaus gilippus
4181994,2016-09-22,32.217753,-110.883876,Pima,Arizona,United States,Brephidium exilis,Western Pygmy-Blue,Lycaenidae,Brephidium,Brephidium exilis
4186818,2016-09-23,33.690615,-111.8052433333,Maricopa,Arizona,United States,Asterocampa leilia,Empress Leilia,Nymphalidae,Asterocampa,Asterocampa leilia
4186828,2016-09-23,33.69492,-111.8013566667,Maricopa,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4186829,2016-09-23,33.6948733333,-111.8014166667,Maricopa,Arizona,United States,Apodemia mormo,Mormon Metalmark,Riodinidae,Apodemia,Apodemia mormo
4186831,2016-09-23,33.6948533333,-111.8013633333,Maricopa,Arizona,United States,Hemiargus ceraunus,Ceraunus Blue,Lycaenidae,Hemiargus,Hemiargus ceraunus
4186834,2016-09-23,33.6949216667,-111.80138,Maricopa,Arizona,United States,Erynnis funeralis,Funereal Duskywing,Hesperiidae,Erynnis,Erynnis funeralis
4195337,2016-03-24,33.43937,-111.4488366667,Pinal,Arizona,United States,Atlides halesus,Great Purple Hairstreak,Lycaenidae,Atlides,Atlides halesus
4197008,2016-09-24,33.976045,-111.80199,Maricopa,Arizona,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
4197011,2016-09-24,33.97606,-111.8019933333,Maricopa,Arizona,United States,Euptoieta claudia,Variegated Fritillary,Nymphalidae,Euptoieta,Euptoieta claudia
4197013,2016-09-24,33.9760683333,-111.8019833333,Maricopa,Arizona,United States,Libytheana carinenta,American Snout,Nymphalidae,Libytheana,Libytheana carinenta
4197015,2016-09-24,33.9760633333,-111.8019916667,Maricopa,Arizona,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme
4200035,2016-09-25,32.2435426074,-111.1692478253,Pima,Arizona,United States,Asterocampa leilia,Empress Leilia,Nymphalidae,Asterocampa,Asterocampa leilia
4200967,2016-09-25,33.3081780045,-111.6771492339,Maricopa,Arizona,United States,Agraulis vanillae,Gulf Fritillary,Nymphalidae,Agraulis,Agraulis vanillae
4203943,2016-09-18,33.887057,-111.951652,Maricopa,Arizona,United States,Asterocampa leilia,Empress Leilia,Nymphalidae,Asterocampa,Asterocampa leilia
4204098,2016-09-18,33.882624,-111.956901,Maricopa,Arizona,United States,Danaus gilippus,Queen,Nymphalidae,Danaus,Danaus gilippus
4204440,2016-08-14,31.539236,-110.760623,Santa Cruz,Arizona,United States,Amblyscirtes tolteca,Toltec Roadside-Skipper,Hesperiidae,Amblyscirtes,Amblyscirtes tolteca
4207412,2016-09-26,32.2318812333,-110.9509475494,Pima,Arizona,United States,Phoebis sennae,Cloudless Sulphur,Pieridae,Phoebis,Phoebis sennae
