id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
26930093,2019-06-13,45.9188048216,-111.0758426507,Gallatin,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
26930170,2019-06-13,45.9187710844,-111.0758333468,Gallatin,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
26936849,2019-06-13,45.9189362498,-111.0758164154,Gallatin,Montana,United States,Coenonympha tullia,Common Ringlet,Nymphalidae,Coenonympha,Coenonympha tullia
26954680,2019-06-13,47.104097654,-104.6500957367,Dawson,Montana,United States,Oeneis uhleri,Uhler's Arctic,Nymphalidae,Oeneis,Oeneis uhleri
26973233,2019-06-14,46.85528,-113.98742,Missoula,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
26981284,2019-06-14,46.862655,-113.88372,Missoula,Montana,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini
27082315,2019-06-13,46.2769034197,-113.4872507009,Granite,Montana,United States,Anthocharis julia sulfuris,,Pieridae,Anthocharis,Anthocharis julia
27085387,2019-06-15,45.438293457,-111.3868179321,Madison,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
27094682,2019-06-12,48.7353466667,-113.4404966667,Glacier,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
27104330,2019-06-15,46.8696166667,-111.9024583333,Lewis and Clark,Montana,United States,Papilio eurymedon,Pale Swallowtail,Papilionidae,Papilio,Papilio eurymedon
27104405,2019-06-15,46.8696166667,-111.9024583333,Lewis and Clark,Montana,United States,Papilio polyxenes,Black Swallowtail,Papilionidae,Papilio,Papilio polyxenes
27104760,2019-06-15,46.870055,-111.9019916667,Lewis and Clark,Montana,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii
27105235,2019-06-15,46.8700966667,-111.9022133333,Lewis and Clark,Montana,United States,Glaucopsyche lygdamus,Silvery Blue,Lycaenidae,Glaucopsyche,Glaucopsyche lygdamus
27117244,2019-06-15,46.8700966667,-111.9022133333,Lewis and Clark,Montana,United States,Plebejus melissa,Melissa Blue,Lycaenidae,Plebejus,Plebejus melissa
27126377,2019-06-10,45.0268333333,-110.7398833333,Park,Montana,United States,Parnassius smintheus,Rocky Mountain Parnassian,Papilionidae,Parnassius,Parnassius smintheus
27183101,2019-06-16,48.199425,-105.4316333333,Roosevelt,Montana,United States,Vanessa atalanta,Red Admiral,Nymphalidae,Vanessa,Vanessa atalanta
27184583,2019-06-10,48.665466849,-113.6379587625,Glacier,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
27217448,2019-06-18,45.6814471353,-111.0987301079,Gallatin,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
27249720,2019-06-16,46.5752442769,-114.1528378921,Ravalli,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
27273008,2016-06-25,46.9271138492,-114.0305972099,Missoula,Montana,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus
27275628,2019-06-16,45.7660478214,-110.9769019113,Gallatin,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
27275933,2019-06-02,46.7666615106,-113.931055069,Missoula,Montana,United States,Polygonia faunus,Green Comma,Nymphalidae,Polygonia,Polygonia faunus
27276123,2019-06-02,46.7660588939,-113.9346170425,Missoula,Montana,United States,Glaucopsyche lygdamus,Silvery Blue,Lycaenidae,Glaucopsyche,Glaucopsyche lygdamus
27276549,2019-06-02,46.7647816667,-113.94105,Missoula,Montana,United States,Anthocharis julia julia,,Pieridae,Anthocharis,Anthocharis julia
27277799,2019-06-09,47.75103,-107.7778566667,Phillips,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
27277940,2019-06-09,47.7509516667,-107.7782216667,Phillips,Montana,United States,Glaucopsyche lygdamus,Silvery Blue,Lycaenidae,Glaucopsyche,Glaucopsyche lygdamus
27345661,2019-06-16,46.2551382424,-114.1636499763,Ravalli,Montana,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus
27359060,2019-06-10,45.0268272451,-110.7399750968,Park,Montana,United States,Parnassius smintheus,Rocky Mountain Parnassian,Papilionidae,Parnassius,Parnassius smintheus
27390516,2019-06-11,47.4475138889,-111.4094916667,Cascade,Montana,United States,Coenonympha tullia,Common Ringlet,Nymphalidae,Coenonympha,Coenonympha tullia
27390712,2019-06-14,47.2118861111,-110.9344472222,Cascade,Montana,United States,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,Icaricia icarioides
27416578,2019-06-18,45.6775054808,-110.9680373147,Gallatin,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
27509088,2019-06-23,45.58682091,-111.06208831,Gallatin,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
27544660,2019-06-16,46.2585783333,-112.6101133333,Deer Lodge,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
27548526,2019-06-16,46.2555983333,-112.606315,Deer Lodge,Montana,United States,Anthocharis julia sulfuris,,Pieridae,Anthocharis,Anthocharis julia
27588659,2019-06-16,46.2592066667,-112.6100133333,Deer Lodge,Montana,United States,Pyrgus ruralis,Two-banded Checkered-Skipper,Hesperiidae,Pyrgus,Pyrgus ruralis
27605724,2019-06-24,46.888195,-114.0113611167,Missoula,Montana,United States,Pontia protodice,Checkered White,Pieridae,Pontia,Pontia protodice
27717697,2019-06-25,46.9188197308,-113.9394027462,Missoula,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
27752614,2019-06-25,46.8295551135,-113.9254535656,Missoula,Montana,United States,Phyciodes cocyta,Northern Crescent,Nymphalidae,Phyciodes,Phyciodes cocyta
27768738,2019-06-25,46.2635213606,-114.2493867874,Ravalli,Montana,United States,Icaricia icarioides,Boisduval's Blue,Lycaenidae,Icaricia,Icaricia icarioides
27785300,2019-06-19,48.1266861667,-113.8082666667,Flathead,Montana,United States,Papilio eurymedon,Pale Swallowtail,Papilionidae,Papilio,Papilio eurymedon
27831552,2019-06-28,46.6662260844,-114.0354872123,Missoula,Montana,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus
27916321,2019-06-26,46.6884333611,-111.7387340039,Lewis and Clark,Montana,United States,Parnassius smintheus,Rocky Mountain Parnassian,Papilionidae,Parnassius,Parnassius smintheus
28037433,2019-06-30,46.8851907427,-113.9770688121,Missoula,Montana,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
28104410,2019-06-27,45.027263565,-110.7383327467,Park,Montana,United States,Parnassius smintheus,Rocky Mountain Parnassian,Papilionidae,Parnassius,Parnassius smintheus
28140414,2019-06-18,46.36554,-111.504225,Broadwater,Montana,United States,Plebejus melissa,Melissa Blue,Lycaenidae,Plebejus,Plebejus melissa
28140675,2019-06-17,46.8220883333,-113.9208133333,Missoula,Montana,United States,Euphydryas anicia,Anicia Checkerspot,Nymphalidae,Euphydryas,Euphydryas anicia
28140799,2019-06-16,46.2576716667,-112.6096733333,Deer Lodge,Montana,United States,Glaucopsyche lygdamus,Silvery Blue,Lycaenidae,Glaucopsyche,Glaucopsyche lygdamus
28140883,2019-06-16,46.2589816667,-112.6094866667,Deer Lodge,Montana,United States,Lycaena cupreus,Lustrous Copper,Lycaenidae,Lycaena,Lycaena cupreus
28142273,2019-07-03,47.5888710022,-114.8844909668,Sanders,Montana,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini
28149043,2019-07-03,45.9715461731,-112.5076370239,Silver Bow,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
28184502,2019-07-04,47.4278561,-114.0530223,Lake,Montana,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
28233525,2019-07-03,45.7496506434,-108.5406322789,Yellowstone,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
28252668,2019-07-05,46.5533858242,-113.1315286043,Powell,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
28253020,2019-07-05,46.4169182827,-113.0954387589,Powell,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii
28460363,2019-06-15,46.7151339167,-114.1940315817,Missoula,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
28495921,2019-07-08,48.9388309783,-114.5573658127,Flathead,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
28558519,2019-07-09,46.8554533333,-113.9841466667,Missoula,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
28589839,2019-07-10,45.70332243,-111.03947636,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola
28640770,2019-07-11,47.67455068,-114.08844194,Lake,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
28654609,2019-07-11,46.0659162859,-114.239936629,Ravalli,Montana,United States,Papilio eurymedon,Pale Swallowtail,Papilionidae,Papilio,Papilio eurymedon
28654661,2019-07-11,46.0657354605,-114.2393841393,Ravalli,Montana,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus
28679507,2019-07-09,46.94288,-113.968695,Missoula,Montana,United States,Speyeria cybele,Great Spangled Fritillary,Nymphalidae,Speyeria,Speyeria cybele
28679590,2019-07-09,46.94288,-113.968695,Missoula,Montana,United States,Speyeria cybele,Great Spangled Fritillary,Nymphalidae,Speyeria,Speyeria cybele
28680153,2019-07-07,47.341390107,-114.0094345822,Lake,Montana,United States,Epargyreus clarus,Silver-spotted Skipper,Hesperiidae,Epargyreus,Epargyreus clarus
28682135,2015-05-24,46.9269380003,-114.0309512615,Missoula,Montana,United States,Carterocephalus palaemon,Arctic Skipper,Hesperiidae,Carterocephalus,Carterocephalus palaemon
28740671,2019-07-13,45.0353466953,-110.7037382015,Park,Montana,United States,Pontia beckerii,Becker's White,Pieridae,Pontia,Pontia beckerii
28742820,2019-07-13,45.0360518229,-110.7008944732,Park,Montana,United States,Euphydryas editha,Edith's Checkerspot,Nymphalidae,Euphydryas,Euphydryas editha
28743363,2019-07-13,45.0303184754,-110.707362285,Park,Montana,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis
28746338,2012-07-02,45.2754055156,-112.9864303674,Beaverhead,Montana,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii
28754915,2019-07-13,45.4989091913,-110.9841961787,Gallatin,Montana,United States,Erebia epipsodea,Common Alpine,Nymphalidae,Erebia,Erebia epipsodea
28754927,2019-07-13,45.4974301206,-110.98848545,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia
28756862,2012-06-12,44.7409775746,-111.8657756309,Beaverhead,Montana,United States,Lycaena cupreus,Lustrous Copper,Lycaenidae,Lycaena,Lycaena cupreus
28761754,2019-07-13,45.49850343,-110.9872135,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii
28790579,2019-07-09,48.723025,-113.4407883333,Glacier,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
28803671,2019-07-14,46.2601610056,-108.9521164675,Golden Valley,Montana,United States,Danaus plexippus,Monarch,Nymphalidae,Danaus,Danaus plexippus
28825299,2019-07-14,45.71047449,-111.05032943,Gallatin,Montana,United States,Limenitis archippus,Viceroy,Nymphalidae,Limenitis,Limenitis archippus
28831215,2019-07-12,46.5777780227,-114.0585803613,Ravalli,Montana,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini
28847862,2019-05-28,48.7599052628,-115.6820536564,Lincoln,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
