"","Bio1","Bio2","Bio3","Bio4","Bio5","Bio6","Bio7","Bio8","Bio9","Bio10","Bio11","Bio12","Bio13","Bio14","Bio15","Bio16","Bio17","Bio18","Bio19","longitude","latitude","Species","time_frame","longitude.1","latitude.1"
"1",36.0993421052632,-34.7135964912281,-148.21738091442,2962.55790613709,28.2894736842105,2.15789473684211,26.1315789473684,65.5350877192982,14.7675438596491,66.3131578947368,13.8464912280702,641.473684210526,183.684210526316,2.15789473684211,104.301540630423,327.894736842105,30.2105263157895,325.263157894737,32,-110.939137,33.823503,1,"t2",-110.939137,33.823503
"2",35.1530701754386,-25.4833333333333,-84.0689287899762,2913.00213102714,31.6368421052632,1.42105263157895,30.2157894736842,71.2228070175439,15.0745614035088,71.2228070175439,14.5131578947368,574.736842105263,182.684210526316,1.42105263157895,115.728977081319,341.263157894737,20.5263157894737,341.263157894737,22.8947368421053,-110.272114,31.401927,1,"t2",-110.272114,31.401927
"3",34.3186403508772,-24.4241228070175,-81.702061325775,2861.75876676759,31.1105263157895,1.31578947368421,29.7947368421053,69.7885964912281,14.6622807017544,69.7885964912281,14.1157894736842,558.368421052632,179.894736842105,1.31578947368421,116.872302867146,334,19.1052631578947,334,21.3684210526316,-110.3959500865,31.4558656406,1,"t2",-110.3959500865,31.4558656406
"4",34.5370614035088,-21.3381578947368,-66.8373705017367,2851.82093139799,32.6631578947368,0.894736842105263,31.7684210526316,69.3964912280702,15.0482456140351,69.3964912280702,14.5377192982456,542.473684210526,179.842105263158,0.894736842105263,119.066369989893,324.894736842105,16.7368421052632,324.894736842105,19.7368421052632,-110.8816841555,31.7238418277,1,"t2",-110.8816841555,31.7238418277
"5",31.6638157894737,-17.865350877193,-59.6905029120138,2400.13378406874,32.1,1.89473684210526,30.2052631578947,62.6070175438597,15.0377192982456,62.6070175438597,14.3885964912281,487.157894736842,147.368421052632,1.89473684210526,110.000039109975,288,20.2105263157895,288,23.6842105263158,-109.3822849,31.9298117,1,"t2",-109.3822849,31.9298117
"6",34.9589912280702,-28.634649122807,-102.396249906957,2848.39167638657,29.5947368421053,1.68421052631579,27.9105263157895,68.2456140350877,14.7877192982456,68.2456140350877,14.0578947368421,591.315789473684,177.736842105263,1.68421052631579,109.847437223659,327.157894736842,22.8947368421053,327.157894736842,24.7368421052632,-110.54297,32.1952383333,1,"t2",-110.54297,32.1952383333
"7",36.5688596491228,-34.9763157894737,-134.410665167827,3238.98442376545,27.4526315789474,1.42105263157895,26.0315789473684,74.9535087719298,13.4184210526316,74.9535087719298,13.030701754386,648.684210526316,203.947368421053,1.42105263157895,114.915336570691,373.210526315789,22,373.210526315789,23.2105263157895,-110.8612100222,31.6934055509,1,"t2",-110.8612100222,31.6934055509
"8",36.5688596491228,-34.9763157894737,-134.410665167827,3238.98442376545,27.4526315789474,1.42105263157895,26.0315789473684,74.9535087719298,13.4184210526316,74.9535087719298,13.030701754386,648.684210526316,203.947368421053,1.42105263157895,114.915336570691,373.210526315789,22,373.210526315789,23.2105263157895,-110.8606211757,31.6936202276,1,"t2",-110.8606211757,31.6936202276
"9",36.5688596491228,-34.9763157894737,-134.410665167827,3238.98442376545,27.4526315789474,1.42105263157895,26.0315789473684,74.9535087719298,13.4184210526316,74.9535087719298,13.030701754386,648.684210526316,203.947368421053,1.42105263157895,114.915336570691,373.210526315789,22,373.210526315789,23.2105263157895,-110.860643,31.694328,1,"t2",-110.860643,31.694328
"10",34.9241228070175,-28.8184210526316,-102.261140157014,2844.7175477895,29.7842105263158,1.63157894736842,28.1526315789474,67.6456140350877,14.7745614035088,68.0745614035088,14.0087719298246,592,176.894736842105,1.63157894736842,109.527668228956,325.947368421053,22.7368421052632,325.947368421053,24.6315789473684,-110.574225,32.2103216667,1,"t2",-110.574225,32.2103216667
"11",34.1339912280702,-20.0741228070175,-62.164499631038,2818.24914048754,33.3105263157895,1.10526315789474,32.2052631578947,70.5447368421053,15.5833333333333,70.6271929824562,14.7745614035088,530.052631578947,174.894736842105,1.10526315789474,120.392724704334,332.684210526316,18.6315789473684,332.631578947368,23,-109.898322,30.923963,1,"t2",-109.898322,30.923963
"12",35.2614035087719,-28.0473684210526,-97.5281021368413,3012.32937944837,29.8315789473684,1.15789473684211,28.6736842105263,71.6131578947368,14.1894736842105,71.6131578947368,13.7377192982456,591.421052631579,189.842105263158,1.15789473684211,116.468254020747,346.842105263158,19.5789473684211,346.842105263158,21.8947368421053,-110.7998096959,31.7017509474,1,"t2",-110.7998096959,31.7017509474
"13",30.4210526315789,-17.1666666666667,-59.1992731809952,2301.61075094918,31.2368421052632,2,29.2368421052632,60.5263157894737,14.5342105263158,60.5824561403509,13.6982456140351,468.052631578947,140.315789473684,2,108.898968703424,277.526315789474,19.7368421052632,277.315789473684,23.4210526315789,-109.176207,31.878141,1,"t2",-109.176207,31.878141
"14",36.5688596491228,-34.9763157894737,-134.410665167827,3238.98442376545,27.4526315789474,1.42105263157895,26.0315789473684,74.9535087719298,13.4184210526316,74.9535087719298,13.030701754386,648.684210526316,203.947368421053,1.42105263157895,114.915336570691,373.210526315789,22,373.210526315789,23.2105263157895,-110.8615660425,31.6938000988,1,"t2",-110.8615660425,31.6938000988
"15",36.5688596491228,-34.9763157894737,-134.410665167827,3238.98442376545,27.4526315789474,1.42105263157895,26.0315789473684,74.9535087719298,13.4184210526316,74.9535087719298,13.030701754386,648.684210526316,203.947368421053,1.42105263157895,114.915336570691,373.210526315789,22,373.210526315789,23.2105263157895,-110.8612265282,31.69381842,1,"t2",-110.8612265282,31.69381842
