id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
528487,1998-07-25,48.45687,22.69055,Mukachivs'ka,,Ukraine,Iphiclides podalirius,Scarce Swallowtail,Papilionidae,Papilioninae,Leptocircini,Iphiclides,Iphiclides podalirius
533620,2012-11-10,39.062448,-78.062281,Clarke,Virginia,United States,Polygonia interrogationis,Question Mark,Nymphalidae,Nymphalinae,Nymphalini,Polygonia,Polygonia interrogationis
533654,1997-06-05,48.97317,22.65303,,,Ukraine,Anthocharis cardamines,orange-tip,Pieridae,Pierinae,Anthocharidini,Anthocharis,Anthocharis cardamines
533674,1997-06-05,48.97317,22.65303,,,Ukraine,Anthocharis cardamines,orange-tip,Pieridae,Pierinae,Anthocharidini,Anthocharis,Anthocharis cardamines
533678,1997-06-05,48.97317,22.65303,,,Ukraine,Anthocharis cardamines,orange-tip,Pieridae,Pierinae,Anthocharidini,Anthocharis,Anthocharis cardamines
539757,1997-05-26,48.17507,22.75948,,,Ukraine,Aporia crataegi,Black-veined White,Pieridae,Pierinae,Pierini,Aporia,Aporia crataegi
539846,2013-08-06,44.730949,5.54122,Drôme,,France,Lycaena alciphron,Purple-shot Copper,Lycaenidae,Lycaeninae,Lycaenini,Lycaena,Lycaena alciphron
539847,2013-08-06,44.730949,5.54122,Drôme,,France,Lycaena alciphron,Purple-shot Copper,Lycaenidae,Lycaeninae,Lycaenini,Lycaena,Lycaena alciphron
540381,2014-02-23,45.124649,1.723979,Corrèze,,France,Vanessa atalanta,Red Admiral,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa atalanta
540382,2014-02-23,45.123154,1.721832,Corrèze,,France,Vanessa atalanta,Red Admiral,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa atalanta
544351,1998-06-17,48.79982,22.5496,,,Ukraine,Pieris brassicae,European Cabbage White,Pieridae,Pierinae,Pierini,Pieris,Pieris brassicae
546508,2000-07-06,48.79982,22.5496,,,Ukraine,Pontia edusa,Eastern Bath White,Pieridae,Pierinae,Pierini,Pontia,Pontia edusa
548482,1998-06-29,48.15245,24.4845,,,Ukraine,Pieris bryoniae,Dark-veined White,Pieridae,Pierinae,Pierini,Pieris,Pieris bryoniae
551958,1999-05-18,48.97317,22.65303,,,Ukraine,Pieris napi,Green-veined White,Pieridae,Pierinae,Pierini,Pieris,Pieris napi
554680,2000-06-23,48.09132,23.4719,,,Ukraine,Pieris rapae,Cabbage White,Pieridae,Pierinae,Pierini,Pieris,Pieris rapae
